anchor,anchor_raw_ingred_name,anchor_matched_ingred_name,pos,pos_raw_ingred_name,pos_matched_ingred_name,neg,neg_raw_ingred_name
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside agave rice.,agave
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside lemon sole rice.,lemon sole
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside betel leaves rice.,betel leaves
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside tofu rice.,tofu
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside halloumi rice.,halloumi
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside breadnut rice.,breadnut
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside feta rice.,feta
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside alfalfa sprout rice.,alfalfa sprout
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside squid rice.,squid
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.,fat coconut milk,Coconut milk,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice., oat yoghurt,Plant-based yogurt,Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside whitebait rice.,whitebait
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the ground ginger and your favourite toppings.",ground ginger
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the jam and your favourite toppings.",jam
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the yogurt and your favourite toppings.",yogurt
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cornmeal and your favourite toppings.",cornmeal
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the coconut cream and your favourite toppings.",coconut cream
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the tomato puree and your favourite toppings.",tomato puree
